,# sql,# questions,# sql-question,# templates (names),# templates (counter),# databases,depth stats,#operators stats,#joins stats,select columns stats,where conditions stats,question length stats,exact schema references percentage,variability,rarity stats,lexical density stats,average dependency distance stats,dependencies depth stats,dependencies num stats
kaggle-dbqa (train),249,272,272,52,60,8,"(0.01, 0, 1)","(2.04, 0, 11)","(0.19, 0, 4)","(1.12, 1.0, 3.0)","(1.64, 1.0, 9.0)","(55.8, 17, 126)","(18.84, 0.0, 100.0)",0.21073691230410135,"(0.18, 0.0, 0.75)","(0.54, 0.16666666666666666, 0.7777777777777778)","(2.58, 1.0, 4.111111111111111)","(3.95, 2, 11)","(10.09, 3, 21)"
kaggle-dbqa (test),174,185,185,44,50,8,"(0.02, 0, 1)","(2.17, 0, 10)","(0.22, 0, 4)","(1.11, 1.0, 3.0)","(1.61, 1.0, 5.0)","(55.56, 17, 126)","(19.29, 0.0, 100.0)",0.25735294117647056,"(0.16, 0.0, 0.75)","(0.53, 0.16666666666666666, 0.7777777777777778)","(2.53, 1.0, 4.111111111111111)","(3.94, 2, 11)","(10.12, 3, 21)"
